Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire,fond,,,,,,,
231,28,7,2004,Elandry,4749.839,6508.374,4749.839,6508.449,29,GA1,CI2,5,m,28,,0,0,0,0,1,1,Simple,,,,,,,,,
232,28,7,2004,Elandry,4749.839,6508.374,4749.839,6508.449,29,GA1,CI2,5,m,48,,0,0,0,0,1,1,Simple,,,,,,,,,
233,28,7,2004,Elandry,4749.839,6508.374,4749.839,6508.449,29,GA1,CI2,6,,,,0,0,0,0,1,1,Simple,2LS,,,,,,,,
234,28,7,2004,Elandry,4749.839,6508.374,4749.839,6508.449,29,GA1,CI2,7,m,50,,0,0,0,0,1,1,Simple,,,,,,,,,
235,28,7,2004,Elandry,4749.839,6508.374,4749.839,6508.449,29,GA1,CI2,7,m,35,,0,0,0,0,1,1,Simple,,,,,,,,,
236,28,7,2004,Elandry,4749.839,6508.374,4749.839,6508.449,29,GA1,CI2,7,m,37,,0,0,0,0,1,1,Simple,,,,,,,,,
237,28,7,2004,Elandry,4749.839,6508.374,4749.839,6508.449,29,GA1,CI2,8,m,49,,0,0,1,0,1,1,Simple,,,,,,,,,
238,28,7,2004,Elandry,4749.839,6508.374,4749.839,6508.449,29,GA1,CI2,9,m,26,,0,0,1,0,0,1,Simple,,,,,,,,,
239,28,7,2004,Elandry,4749.839,6508.374,4749.839,6508.449,29,GA1,CI2,9,f,54,,0,0,1,0,0,1,Simple,,,,,,,,,
241,28,7,2004,Elandry,4749.839,6508.374,4749.839,6508.449,26,GA1,CI2,11,f,35,,0,0,1,0,1,0,Simple,,,,,,,,,
242,28,7,2004,Elandry,4749.839,6508.374,4749.839,6508.449,25,GA1,CI2,11,f,36,,0,0,1,0,1,0,Simple,,,,,,,,,
